id,name,tier,price,mechanism,primary_path_limit,observed_visible_max,presentation_cases,mismatches,screenshot,screenshot_exists,raw_dps,final_dps,raw_boss_dps,final_boss_dps,raw_clear_seconds,final_clear_seconds,status,range_note
1,冲击波霰弹枪,1,60,projectile,800.0,810.667358398438,6,0,weapons-visual-final-v2/m8/m9-weapon-1.png,True,1.46656889540697,1.90666666667094,1.46656889540697,1.90653956403333,65.785,52.054,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
3,Baby冲锋枪,1,90,projectile,1200.0,1204.00012207031,6,0,weapons-visual-final-v2/m8/m9-weapon-3.png,True,2.70432292012464,5.41297246847959,2.70666666665541,5.41333333331083,66.958,33.534,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
9,Uzi,1,120,projectile,1200.0,1214.00012207031,6,0,weapons-visual-final-v2/m8/m9-weapon-9.png,True,3.29978001466569,5.28000000001921,3.3,5.28000000001921,53.862,34.238,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
0,冲击波步枪,2,240,projectile,800.0,810.667236328125,6,0,weapons-visual-final-v2/m8/m9-weapon-0.png,True,6.3,7.55949603360998,6.3,7.55949603360998,28.814,25.072,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
2,轻型狙击枪,2,260,projectile,2000.0,2003.99816894531,6,0,weapons-visual-final-v2/m8/m9-weapon-2.png,True,6.66666666666667,9.89267382174289,6.66622225184988,9.89333333333101,26.745,21.681,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
5,帝国霰弹枪,2,290,projectile,800.0,810.664367675781,6,0,weapons-visual-final-v2/m8/m9-weapon-5.png,True,4.0,5.51999999998952,3.99973335110993,5.51963202452122,33.769,24.661,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
8,RebalShotgun,2,320,projectile,1000.0,1012.33551025391,6,0,weapons-visual-final-v2/m8/m9-weapon-8.png,True,2.16652223185121,3.88266666666314,2.16652223185121,3.87956301625014,26.842,15.898,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
123,三连发卡宾,2,350,projectile,800.0,810.667785644531,6,0,weapons-visual-final-v2/m8/m9-weapon-123.png,True,3.79974668355443,8.39800000002433,3.4,7.95546963538069,49.046,22.977,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
7,异形者机枪,2,380,projectile,1000.0,1012.33239746094,6,0,weapons-visual-final-v2/m8/m9-weapon-7.png,True,7.59949336710886,10.8672755149126,7.59949336710886,10.8679999999469,23.408,16.34,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
117,反弹重弹枪,3,700,ricochet,600.0,604.000061035156,6,0,weapons-visual-final-v2/m8/m9-weapon-117.png,True,6.39957336177588,17.1988534097727,6.39957336177588,17.2,29.828,10.281,PASS,Primary projectile/beam path; AoE radius and conditional secondary paths are separate.
118,裂片发射器,3,760,shard,640.0,771.869201660156,6,0,weapons-visual-final-v2/m8/m9-weapon-118.png,True,6.99953336444237,15.2000000000116,6.99953336444237,15.2000000000116,14.9,7.397,PASS,640 px mother path + up to 640 px one-generation fragment path; M9Paths tests a target at 1220 and excludes 1330.
